trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
276,False,"{'a': 0.01, 'e': 0.0632917683596407}",20,14,13.968276569744928,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.01, 'e': 0.06266200474215315}",25,3,18.717648303044147,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.01, 'e': 0.06203850737735829}",25,15,16.946667167811505,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.06142121391500013}",20,7,10.923126419452009,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.01, 'e': 0.06081006262521795}",30,13,31.58393031558724,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.06020499239237354}",20,11,14.408152616675508,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.01, 'e': 0.05960594270893937}",20,16,6.74507045230882,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.01, 'e': 0.05901285366944784}",20,8,22.13182812780373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.01, 'e': 0.05842566596450083}",20,9,15.353776904693733,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.057844320874838456}",20,0,12.817841005424405,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
286,False,"{'a': 0.01, 'e': 0.05726876026546736}",20,8,21.615324250115943,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.0566989265798469}",20,6,26.968368985800666,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.01, 'e': 0.056134762834133725}",30,11,37.56300622913116,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.01, 'e': 0.05557621261148306}",20,8,-17.681882147183387,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
290,False,"{'a': 0.01, 'e': 0.05502322005640723}",30,15,-28.16946167336816,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
